timestamp,age_group,industry,job_title,job_context,annual_salary,additional_compensation,currency,"If ""Other,"" please indicate the currency here: ",income_context,country,state,city,overall_experience,field_experience,education_level,gender,race,total_compensation,major_industry
4/27/2021 11:03:41,35-44,Government and Public Administration,Economist,,140000.0,0.0,USD,,,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,140000.0,Government and Public Sector
4/27/2021 11:03:43,25-34,Engineering or Manufacturing,Research Engineer,,80000.0,0.0,USD,,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White,80000.0,Manufacturing and Industry
4/27/2021 11:03:44,25-34,Nonprofits,Volunteer and Giving Coordinator,,39000.0,0.0,USD,,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,39000.0,Technology and Information
4/27/2021 11:03:44,35-44,Media & Digital,Editor,,125000.0,0.0,USD,,,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White,125000.0,Technology and Information
4/27/2021 11:03:45,25-34,"Accounting, Banking & Finance",Financial Advisor,,230000.0,0.0,USD,,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White,230000.0,Financial Services
4/27/2021 11:03:46,35-44,"Accounting, Banking & Finance",Accounting Manager,,110000.0,15000.0,USD,,,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White,125000.0,Financial Services
4/27/2021 11:03:54,25-34,Nonprofits,Administrative and HR Manager,,50000.0,0.0,USD,,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,50000.0,Technology and Information
4/27/2021 11:03:55,35-44,Education (Higher Education),Senior IRB Analyst,"State university, higher ed research adminstration",68000.0,0.0,USD,,,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White,68000.0,Education and Research
4/27/2021 11:03:56,18-24,Media & Digital,Reporter,,41000.0,100.0,USD,,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White,41100.0,Technology and Information
4/27/2021 11:03:57,25-34,"Accounting, Banking & Finance",Senior Administrator ,,76000.0,10000.0,USD,,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White,86000.0,Financial Services
4/27/2021 11:03:57,35-44,Government and Public Administration,Staff Services Manager II,"Mid-level manager, team of 13",78000.0,0.0,USD,,,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White,78000.0,Government and Public Sector
4/27/2021 11:03:59,25-34,"Accounting, Banking & Finance",Receptionist,,37000.0,0.0,USD,,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White,37000.0,Financial Services
4/27/2021 11:04:01,45-54,Engineering or Manufacturing,Lead Engineer,supervisor level with no direct reports,100000.0,50000.0,USD,,,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White,150000.0,Manufacturing and Industry
4/27/2021 11:04:02,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,,65000.0,0.0,USD,,,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White,65000.0,Government and Public Sector
4/27/2021 11:04:04,25-34,Nonprofits,Project Manager,,66625.0,1500.0,USD,,,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",68125.0,Technology and Information
4/27/2021 11:04:11,35-44,Education (Higher Education),Research and Development Engineer 3,Process Engineer in a University Cleanroom,96000.0,0.0,USD,,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White,96000.0,Education and Research
4/27/2021 11:04:11,25-34,Education (Primary/Secondary),Science Teacher (Public High School),,53000.0,1000.0,USD,,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White,54000.0,Education and Research
4/27/2021 11:04:15,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",,95000.0,10000.0,USD,,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,105000.0,Professional Services
4/27/2021 11:04:23,35-44,Engineering or Manufacturing,Water Resources Engineer,,106000.0,0.0,USD,,,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White,106000.0,Manufacturing and Industry
4/27/2021 11:04:24,25-34,Government and Public Administration,Program Officer,,115000.0,0.0,USD,,,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000.0,Government and Public Sector
4/27/2021 11:04:26,25-34,Business or Consulting,Account Supervisor,Program Manager for Government contractor,100500.0,3000.0,USD,,,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White,103500.0,Professional Services
4/27/2021 11:04:28,25-34,Education (Higher Education),Coordinator,,52000.0,0.0,USD,,,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White,52000.0,Education and Research
4/27/2021 11:04:29,65 or over,Property or Construction,Safety Director,,104000.0,25000.0,USD,,Extra money comes from overtime,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White,129000.0,Real Estate and Construction
4/27/2021 11:04:32,18-24,Biotechnology,Downstream Process Development Research Associate I,,52000.0,0.0,USD,,,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White,52000.0,Healthcare and Life Sciences
4/27/2021 11:04:34,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",This is NOT a non-profit development/fundraising role.,84000.0,8400.0,USD,,,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White,92400.0,Technology and Information
4/27/2021 11:04:35,35-44,Health care,AR Manager,,53000.0,0.0,USD,,,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White,53000.0,Healthcare and Life Sciences
4/27/2021 11:04:38,25-34,Nonprofits,Programming Coordinator,,38000.0,0.0,USD,,,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White,38000.0,Technology and Information
4/27/2021 11:04:39,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,87000.0,0.0,USD,,,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White,87000.0,Government and Public Sector
4/27/2021 11:04:41,25-34,Engineering or Manufacturing,Marketing Coordinator,,45000.0,0.0,USD,,,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White,45000.0,Manufacturing and Industry
4/27/2021 11:04:43,35-44,Nonprofits,Supervisory Archivist,at a historical society,71000.0,0.0,USD,,,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White,71000.0,Technology and Information
4/27/2021 11:04:43,45-54,Education (Higher Education),Program Manager,,71000.0,0.0,USD,,,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White,71000.0,Education and Research
4/27/2021 11:04:45,35-44,Education (Primary/Secondary),High School Teacher at an independent school,,75000.0,0.0,USD,,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White,75000.0,Education and Research
4/27/2021 11:04:48,35-44,Education (Higher Education),Manager of Market Research and Data,"My group is responsible for data gathering, analysis and reporting to state and federal stakeholders as well as strategic initiatives and grant applications. We also manage the organization's CRM system.",80000.0,0.0,USD,,,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White,80000.0,Education and Research
4/27/2021 11:04:50,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,65000.0,0.0,USD,,,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White,65000.0,Education and Research
4/27/2021 11:04:58,35-44,Engineering or Manufacturing,Senior Engineer ,,105000.0,13000.0,USD,,,United States ,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White,118000.0,Manufacturing and Industry
4/27/2021 11:05:01,35-44,Education (Higher Education),Digital Archivist,,65000.0,0.0,USD,,,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White,65000.0,Education and Research
4/27/2021 11:05:02,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,85000.0,8500.0,USD,,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White,93500.0,Professional Services
4/27/2021 11:05:02,25-34,Sales,CSR,,39520.0,0.0,USD,,,United States ,Oregon,Portland ,8 - 10 years,2 - 4 years,Some college,Woman,White,39520.0,Professional Services
4/27/2021 11:05:05,55-64,Business or Consulting,Senior Vice President of Marketing,,180000.0,60000.0,USD,,,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White,240000.0,Professional Services
4/27/2021 11:05:07,25-34,"Accounting, Banking & Finance",Accounting Manager,,90000.0,0.0,USD,,,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White,90000.0,Financial Services
4/27/2021 11:05:07,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,,65000.0,5000.0,USD,,,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White,70000.0,Professional Services
4/27/2021 11:05:08,25-34,Education (Primary/Secondary),Director of Development,,63500.0,0.0,USD,,,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White,63500.0,Education and Research
4/27/2021 11:05:08,25-34,Nonprofits,Program & Administrative Assistant,,47700.0,2000.0,USD,,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,49700.0,Technology and Information
4/27/2021 11:05:14,25-34,Education (Higher Education),Administrative Support Assistant,,39635.0,305.0,USD,,,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White",39940.0,Education and Research
4/27/2021 11:05:14,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,53000.0,0.0,USD,,,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White,53000.0,Government and Public Sector
4/27/2021 11:05:17,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,,47255.0,0.0,USD,,,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White,47255.0,Education and Research
4/27/2021 11:05:17,35-44,Property or Construction,Senior Project Manager,,196000.0,10000.0,USD,,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White,206000.0,Real Estate and Construction
4/27/2021 11:05:17,45-54,Health care,Customer Service Representative,Pharma call center,34361.0,0.0,USD,,,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",34361.0,Healthcare and Life Sciences
4/27/2021 11:05:17,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)",150000.0,20000.0,USD,,,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White,170000.0,Manufacturing and Industry
4/27/2021 11:05:17,25-34,Hospitality & Events,Graphic Designer,Solo in-house graphic designer & illustrator,75000.0,0.0,USD,,,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,75000.0,Technology and Information
4/27/2021 11:05:18,35-44,Education (Higher Education),Graduate Student,,20000.0,0.0,USD,,Doesn't include tuition remission,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White,20000.0,Education and Research
4/27/2021 11:05:23,45-54,Education (Higher Education),Professor,,95000.0,10000.0,USD,,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White,105000.0,Education and Research
4/27/2021 11:05:23,45-54,Sales,Office Manager,,42000.0,0.0,USD,,,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White,42000.0,Professional Services
4/27/2021 11:05:24,25-34,"Accounting, Banking & Finance",Finance Manager,Ad Sales,100000.0,5000.0,USD,,,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White,105000.0,Financial Services
4/27/2021 11:05:25,35-44,Education (Higher Education),Medical Education Director,,119000.0,2500.0,USD,,,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White,121500.0,Education and Research
4/27/2021 11:05:27,25-34,Education (Higher Education),Associate Director of Donor Relations,,75000.0,0.0,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,75000.0,Education and Research
4/27/2021 11:05:28,35-44,Education (Higher Education),Assistant Professor of Law,,145000.0,15000.0,USD,,,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White,160000.0,Education and Research
4/27/2021 11:05:33,25-34,"Marketing, Advertising & PR",Content Writer,,48000.0,2000.0,USD,,,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White,50000.0,Professional Services
4/27/2021 11:05:33,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,,75000.0,10000.0,USD,,,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White,85000.0,Financial Services
4/27/2021 11:05:34,35-44,Media & Digital,Digital Marketing Specialist,,42000.0,0.0,USD,,,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White,42000.0,Technology and Information
4/27/2021 11:05:36,35-44,Nonprofits,Archivist,,54000.0,100.0,USD,,,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White,54100.0,Technology and Information
4/27/2021 11:05:43,55-64,Medical Devices,QC Supervisor,,60000.0,500.0,USD,,,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African,60500.0,Healthcare and Life Sciences
4/27/2021 11:05:44,55-64,Nonprofits,Content Development Manager,,101500.0,0.0,USD,,,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White,101500.0,Technology and Information
4/27/2021 11:05:44,25-34,Academic research (Psychology),Clinical Research Assistant II,,36883.0,150.0,USD,,,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White,37033.0,Education and Research
4/27/2021 11:05:45,25-34,Media & Digital,news editor,,85000.0,0.0,USD,,,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White,85000.0,Technology and Information
4/27/2021 11:05:45,25-34,Education (Higher Education),Senior Administrative Assistant ,,62000.0,0.0,USD,,,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White,62000.0,Education and Research
4/27/2021 11:05:46,55-64,Education (Higher Education),career services professional,,55000.0,0.0,USD,,,United States,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White,55000.0,Education and Research
4/27/2021 11:05:47,25-34,Government and Public Administration,Project Coordinator,,59015.0,0.0,USD,,,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White,59015.0,Government and Public Sector
4/27/2021 11:05:48,25-34,Business or Consulting,"Associate Manager, Education",Beauty industry education for sales teams,71000.0,3000.0,USD,,,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White,74000.0,Professional Services
4/27/2021 11:05:49,25-34,public library,Senior Librarian,,63000.0,0.0,USD,,,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White,63000.0,Education and Research
4/27/2021 11:05:49,35-44,Engineering or Manufacturing,Project Estimator,,95000.0,5000.0,USD,,"Bonus average was used; it varied depending on profitability.  Also, have 4 weeks PTO.",United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White,100000.0,Manufacturing and Industry
4/27/2021 11:05:51,35-44,Nonprofits,Customer Advocate,Customer support,35000.0,3000.0,USD,,,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White,38000.0,Technology and Information
4/27/2021 11:05:52,35-44,"Accounting, Banking & Finance",Accounts Payable Manager,,56000.0,2500.0,USD,,,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,Some college,Woman,White,58500.0,Financial Services
4/27/2021 11:05:52,35-44,Education (Higher Education),Associate Director,,85000.0,0.0,USD,,,United States,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White,85000.0,Education and Research
4/27/2021 11:05:52,35-44,Education (Higher Education),Editor,,62000.0,0.0,USD,,,United States,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White,62000.0,Education and Research
4/27/2021 11:05:53,25-34,Nonprofits,Program Associate,,63000.0,1000.0,USD,,,United States,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White,64000.0,Technology and Information
4/27/2021 11:05:55,35-44,Nonprofits,Online Sales Support Manager,,86000.0,6000.0,USD,,,United States,,New York ,11 - 20 years,8 - 10 years,College degree,Woman,White,92000.0,Technology and Information
4/27/2021 11:05:58,35-44,Education (Higher Education),Research Technologist,,42000.0,0.0,USD,,,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White,42000.0,Education and Research
4/27/2021 11:06:00,55-64,Biopharma,RIM Manager,Regulatory Information Management - Technology to support Regulatory submissions,114000.0,30000.0,USD,,,US,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White,144000.0,Healthcare and Life Sciences
4/27/2021 11:06:00,45-54,Insurance,Senior Client Service Representative,,73000.0,0.0,USD,,,us,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White,73000.0,Financial Services
4/27/2021 11:06:02,45-54,Health care,Clinical analyst,It department- supporting clinical users of emr,100000.0,0.0,USD,,,Usa,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White,100000.0,Healthcare and Life Sciences
4/27/2021 11:06:02,18-24,Government and Public Administration,Policy Analyst ,,60129.0,3000.0,USD,,,United States,District of Columbia,Washington DC,2 - 4 years,1 year or less,Master's degree,Woman,White,63129.0,Government and Public Sector
4/27/2021 11:06:06,25-34,"Accounting, Banking & Finance",Senior Accountant,,60000.0,0.0,USD,,,US,Ohio,Columbus,5-7 years,5-7 years,Master's degree,Woman,White,60000.0,Financial Services
4/27/2021 11:06:06,35-44,Nonprofits,Administrative Assistant,,37000.0,0.0,USD,,,US,Ohio,Shaker Hts,11 - 20 years,5-7 years,College degree,Woman,White,37000.0,Technology and Information
4/27/2021 11:06:06,25-34,Engineering or Manufacturing,User experience specialist,,85000.0,3000.0,USD,,The bonus fluctuates depending on company performance.,USA,South Carolina,Charleston,5-7 years,5-7 years,College degree,Woman,White,88000.0,Manufacturing and Industry
4/27/2021 11:06:07,35-44,Media & Digital,Self-employed writer,,45000.0,20000.0,USD,,"I'm a freelancer, I pay myself a salary and take disbursements on top of that.",USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White,65000.0,Technology and Information
4/27/2021 11:06:07,25-34,Nonprofits,Director of Development,,92000.0,0.0,USD,,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman,White,92000.0,Technology and Information
4/27/2021 11:06:07,25-34,Engineering or Manufacturing,Production Technician,,65000.0,4000.0,USD,,,United States,Wisconsin,Madison,5-7 years,2 - 4 years,College degree,Man,White,69000.0,Manufacturing and Industry
4/27/2021 11:06:08,35-44,"Marketing, Advertising & PR",Graphic Designer,"Digital ads, some video editing",35000.0,0.0,USD,,,United States of America,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White,35000.0,Professional Services
4/27/2021 11:06:12,25-34,"Accounting, Banking & Finance",Compliance Officer,Compliance offer in financial planning services,74000.0,1000.0,USD,,,United States,Oklahoma,Tulsa,8 - 10 years,5-7 years,College degree,Woman,White,75000.0,Financial Services
4/27/2021 11:06:12,25-34,Engineering or Manufacturing,Director of Intelligence,,102500.0,20000.0,USD,,,United States,Florida,Tampa,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin",122500.0,Manufacturing and Industry
4/27/2021 11:06:12,35-44,Nonprofits,Coordinator of Survivor Services,Coordinator of outpatient trauma services (community mental health),70000.0,0.0,USD,,,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White,70000.0,Technology and Information
4/27/2021 11:06:13,35-44,Architecture,Project Architect,,58000.0,4000.0,USD,,,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White,62000.0,Technology and Information
4/27/2021 11:06:15,35-44,"Marketing, Advertising & PR",Brand Consultant,,400000.0,0.0,USD,,,United States,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White,400000.0,Professional Services
4/27/2021 11:06:15,35-44,Nonprofits,HR director,"I am also a social worker and do some counseling as part of my role, but it's mostly HR",61200.0,0.0,USD,,,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White,61200.0,Technology and Information
4/27/2021 11:06:15,25-34,Recruitment or HR,Talent Acquisition Specialist,,66000.0,0.0,USD,,,United States,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White,66000.0,Technology and Information
4/27/2021 11:06:17,25-34,Education (Higher Education),Communications Specialist,,52000.0,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White,52000.0,Education and Research
4/27/2021 11:06:17,45-54,Property or Construction,CAD Manager,Land surveying CAD manager,75500.0,5000.0,USD,,,United States of America,Florida,Northeast Florida,21 - 30 years,11 - 20 years,Some college,Woman,White,80500.0,Real Estate and Construction
4/27/2021 11:06:18,25-34,"Marketing, Advertising & PR",Content Strategist and Writer,,57000.0,0.0,USD,,,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White,57000.0,Professional Services
4/27/2021 11:06:20,25-34,Nonprofits,Associate,,83200.0,0.0,USD,,,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White,83200.0,Technology and Information
4/27/2021 11:06:22,18-24,"Marketing, Advertising & PR","Manager, Planning",Work at a media/advertising agency,77500.0,0.0,USD,,,United States,New York,New York City ,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White",77500.0,Professional Services
4/27/2021 11:06:23,35-44,Retail,Fulfillment Expert,,31200.0,0.0,USD,,,US,Florida,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White,31200.0,Retail and Consumer Services
4/27/2021 11:06:24,35-44,"Marketing, Advertising & PR",Associate Creative Director,,215000.0,10000.0,USD,,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,225000.0,Professional Services
4/27/2021 11:06:24,25-34,Academic Medicine ,Administrative Specialist,lowest level administrator in an academic section ,55000.0,2500.0,USD,,,USA,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Man,White,57500.0,Education and Research
4/27/2021 11:06:26,25-34,Retail,Head of Data & Analytics,,100000.0,0.0,USD,,,US,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,100000.0,Retail and Consumer Services
4/27/2021 11:06:27,35-44,Education (Higher Education),Associate Director ,Research ,63000.0,2000.0,USD,,Longevity pay,United States ,Texas,El Paso,11 - 20 years,8 - 10 years,,Woman,"Hispanic, Latino, or Spanish origin",65000.0,Education and Research
4/27/2021 11:06:31,25-34,"Accounting, Banking & Finance",Lead business controls specialist,,94000.0,0.0,USD,,,Usa,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White,94000.0,Financial Services
4/27/2021 11:06:34,25-34,Engineering or Manufacturing,Product Engineer,,57000.0,0.0,USD,,,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman,White,57000.0,Manufacturing and Industry
